formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
21.0,2.0,35.0,13.0,6.0,10.0,10.0,40.0,4.0,7.0,1.0,1.0,0.939910463988781,1.0256572496145964,2025-12-01-15:51:21
4.0,6.0,30.0,18.0,5.0,30.0,19.0,30.0,16.0,5.0,1.0,1.0,0.9206358641386032,1.0940771475434303,2025-12-01-15:51:21
11.0,4.0,35.0,1.0,5.5,20.0,4.0,20.0,10.0,2.0,2.0,1.0,0.9866814073175192,1.0934598073363304,2025-12-01-15:51:21
14.0,8.0,25.0,28.0,8.0,20.0,13.0,50.0,9.0,8.0,1.0,1.0,0.9406420327723026,1.0869404450058937,2025-12-01-15:51:21
13.0,5.0,30.0,24.0,4.5,15.0,2.0,10.0,13.0,3.0,2.0,1.0,0.9432284720242023,1.0741094052791595,2025-12-01-15:51:21
1.0,1.0,25.0,30.0,4.0,30.0,1.0,50.0,0.0,10.0,1.0,1.0,0.966642789542675,1.0578185580670834,2025-12-01-15:51:23
21.0,10.0,40.0,1.0,6.0,10.0,20.0,10.0,19.0,1.0,2.0,1.0,0.9939960655756295,1.028456348925829,2025-12-01-15:51:23
1.0,1.0,25.0,30.0,6.0,30.0,20.0,10.0,0.0,1.0,2.0,1.0,0.9799334276467562,1.0501385629177094,2025-12-01-15:51:23
1.0,10.0,40.0,30.0,6.0,10.0,20.0,50.0,0.0,10.0,1.0,1.0,0.9135056361556053,1.0272649116814137,2025-12-01-15:51:26
21.0,1.0,25.0,1.0,4.0,30.0,20.0,50.0,19.0,1.0,2.0,1.0,0.9600233361124992,1.0002597868442535,2025-12-01-15:51:26
21.0,1.0,25.0,1.0,6.0,30.0,1.0,10.0,20.0,10.0,2.0,1.0,0.9165364652872086,1.0878817364573479,2025-12-01-15:51:26
1.0,1.0,40.0,30.0,6.0,30.0,1.0,50.0,20.0,1.0,2.0,1.0,0.999343884002883,1.0114180510863662,2025-12-01-15:51:29
1.0,10.0,25.0,1.0,4.0,10.0,20.0,10.0,0.0,10.0,2.0,1.0,0.9623648710548878,1.0837438628077507,2025-12-01-15:51:29
21.0,10.0,40.0,1.0,6.0,30.0,1.0,10.0,0.0,1.0,2.0,1.0,0.9416308887302876,1.0119697274640203,2025-12-01-15:51:29
1.0,5.0,25.0,1.0,6.0,10.0,1.0,20.0,20.0,1.0,1.0,1.0,0.9264234527945518,1.0436791256070137,2025-12-01-15:51:34
21.0,7.0,40.0,30.0,4.0,30.0,20.0,50.0,0.0,10.0,3.0,1.0,0.9697676412761211,1.077861301600933,2025-12-01-15:51:34
1.0,1.0,40.0,9.0,6.0,30.0,20.0,10.0,19.0,10.0,3.0,1.0,0.9898199858143926,1.081600897014141,2025-12-01-15:51:34
1.0,7.0,25.0,1.0,6.0,25.0,1.0,50.0,3.0,6.0,3.0,1.0,0.9024939984083176,1.0835924744606018,2025-12-01-15:51:41
21.0,4.0,40.0,30.0,4.0,25.0,3.0,20.0,16.0,5.0,2.0,1.0,0.9518784210085869,1.0029734552372247,2025-12-01-15:51:41
21.0,1.0,40.0,30.0,6.0,30.0,20.0,10.0,19.0,10.0,1.0,1.0,0.9478086121380329,1.0159513242542744,2025-12-01-15:51:41
8.0,2.0,35.0,1.0,6.5,15.0,17.0,20.0,16.0,2.0,3.0,1.0,0.9952117917127907,1.0242171175777912,2025-12-01-15:51:47
7.0,6.0,35.0,1.0,7.0,25.0,15.0,20.0,16.0,5.0,2.0,1.0,0.9937818464823067,1.0385564751923084,2025-12-01-15:51:47
10.0,10.0,30.0,30.0,6.0,30.0,1.0,30.0,0.0,10.0,1.0,1.0,0.9397972263395786,1.0031562149524689,2025-12-01-15:51:47
21.0,1.0,25.0,30.0,6.0,10.0,10.0,10.0,0.0,9.0,2.0,1.0,0.9065184891223907,1.0799169465899467,2025-12-01-15:51:56
1.0,10.0,35.0,1.0,4.0,20.0,1.0,10.0,17.0,1.0,2.0,1.0,0.9421673938632011,1.0664787366986275,2025-12-01-15:51:56
8.0,1.0,35.0,1.0,6.5,20.0,1.0,20.0,16.0,1.0,2.0,1.0,0.9025436639785767,1.017739785835147,2025-12-01-15:51:56
1.0,6.0,40.0,2.0,6.0,20.0,18.0,10.0,19.0,5.0,3.0,1.0,0.9857754232361913,1.004693829920143,2025-12-01-15:52:04
11.0,6.0,35.0,1.0,5.5,30.0,7.0,20.0,9.0,1.0,2.0,1.0,0.9651238657534122,1.0317851305007935,2025-12-01-15:52:04
6.0,7.0,30.0,1.0,7.0,25.0,18.0,20.0,17.0,10.0,3.0,1.0,0.9428403303027153,1.0407542772591114,2025-12-01-15:52:04
16.0,5.0,30.0,30.0,7.0,20.0,1.0,20.0,10.0,1.0,2.0,1.0,0.9392285458743572,1.0132638216018677,2025-12-01-15:52:12
1.0,5.0,35.0,1.0,4.0,15.0,3.0,20.0,10.0,4.0,2.0,1.0,0.9889399586245418,1.0091483416035771,2025-12-01-15:52:12
15.0,4.0,40.0,2.0,7.0,10.0,18.0,20.0,17.0,6.0,2.0,1.0,0.9291308149695396,1.0198986660689116,2025-12-01-15:52:12
1.0,2.0,40.0,5.0,6.0,30.0,18.0,10.0,13.0,6.0,3.0,1.0,0.9387850984930992,1.0259027481079102,2025-12-01-15:52:20
3.0,6.0,30.0,14.0,4.0,30.0,16.0,30.0,20.0,5.0,2.0,1.0,0.9014551118016243,1.0426397807896137,2025-12-01-15:52:20
12.0,4.0,40.0,1.0,4.0,20.0,1.0,20.0,2.0,1.0,2.0,1.0,0.9806207530200481,1.0266143679618835,2025-12-01-15:52:20
